id,brand,categories,reviews.text
AV1YmBrdGV-KLJ3adewb,Pantene,"Personal Care,Hair Care,Shampoo,Shampoos,Curling Irons & Wands,Daily Shampoo,Shampoo Plus Conditioner,Beauty,Color Additives & Fillers","I like the color protection part, however my hair feels weighed down after using. Prefer the volume shampoo for fine hair."
AV1YmBrdGV-KLJ3adewb,Pantene,"Personal Care,Hair Care,Shampoo,Shampoos,Curling Irons & Wands,Daily Shampoo,Shampoo Plus Conditioner,Beauty,Color Additives & Fillers",I like this improved version better than the old one which I didn't like at all. My hair feels very soft and appears a little fuller. The scent is pleasant - different than old version but is an improvement as well.
AV1YmBrdGV-KLJ3adewb,Pantene,"Personal Care,Hair Care,Shampoo,Shampoos,Curling Irons & Wands,Daily Shampoo,Shampoo Plus Conditioner,Beauty,Color Additives & Fillers",I recently got my hair dyed after many years of going without . Pantene was my shampoo of choice after gettibg my hair done. It has retained its luster for weeks since I got my new look. I will stay loyal to pantene products after seeing its results.
AV1YmBrdGV-KLJ3adewb,Pantene,"Personal Care,Hair Care,Shampoo,Shampoos,Curling Irons & Wands,Daily Shampoo,Shampoo Plus Conditioner,Beauty,Color Additives & Fillers",This product is good and I am happy with it. I will use it again and would recommend it to others.
AV1YmBrdGV-KLJ3adewb,Pantene,"Personal Care,Hair Care,Shampoo,Shampoos,Curling Irons & Wands,Daily Shampoo,Shampoo Plus Conditioner,Beauty,Color Additives & Fillers",This shampoo works and smells great. I use it everyday. Thanks
AV1YmBrdGV-KLJ3adewb,Pantene,"Personal Care,Hair Care,Shampoo,Shampoos,Curling Irons & Wands,Daily Shampoo,Shampoo Plus Conditioner,Beauty,Color Additives & Fillers",I love this Shampoo/Conditioner. I use it everyday on my color treated hair. It doesn't make your hair greasy or oily feeling like most other brands do. I HIGHLY recommend this product to anyone who colors their hair. Its amazing and I will NEVER buy another brand again!! Thank you Pantene for being so wonderful :)
AV1YmBrdGV-KLJ3adewb,Pantene,"Personal Care,Hair Care,Shampoo,Shampoos,Curling Irons & Wands,Daily Shampoo,Shampoo Plus Conditioner,Beauty,Color Additives & Fillers","I love almost ALL your shampoos but this is my favorite. It delivers clean hair, shine, weightless conditioning, and a very clean fragrance. The lather is amazing and it rinses clean even in hard water. I love the Classic Clean and the other color safe formula for shine. LOVE!"
AV1YmBrdGV-KLJ3adewb,Pantene,"Personal Care,Hair Care,Shampoo,Shampoos,Curling Irons & Wands,Daily Shampoo,Shampoo Plus Conditioner,Beauty,Color Additives & Fillers","I received a sample of both the shampoo and conditioner and was very impressed. I bought them right away and have only been using these two products together for less than one week and I love them! My long hair feels so soft, is shiny, and not weighed down."
AV1YmBrdGV-KLJ3adewb,Pantene,"Personal Care,Hair Care,Shampoo,Shampoos,Curling Irons & Wands,Daily Shampoo,Shampoo Plus Conditioner,Beauty,Color Additives & Fillers",Most shampoos and conditioners for colored hair are so heavy that my hair just fell flat. With this new Pantene my color isn't fading and I have all day volume. Add the super reasonable price and I am one happy girl!
AV1YmBrdGV-KLJ3adewb,Pantene,"Personal Care,Hair Care,Shampoo,Shampoos,Curling Irons & Wands,Daily Shampoo,Shampoo Plus Conditioner,Beauty,Color Additives & Fillers",One of my favorite Pantene products. The product is rich and smells wonderful. It helps protect my colored hair without heavy buildup and gives my fine hair volume.
